Cargos;Valores
Diretor Executivo (CEO);39
Desenvolvedores;31
Marketing;13
Administrativo;11
Comercial;5
Diretor de Produtos (CPO);3
Analista de Customer Success;2
UI Designer;2
Diretor de Operações (COO);2
Empresa Terceirizada;2
Suporte;1
